;;;;;;;;;;;;;;26 a 49;50 a 99;;;
CUSTOS PEÇAS;1;2;3;4;5;6;7;8;9;10;15;20;25;26;50;;ESTAMPA PEQUENA (10X10);
CAMISETA ALGODÃO;R$ 36,85;R$ 36,85;R$ 36,85;R$ 36,85;R$ 36,85;R$ 36,85;R$ 36,85;R$ 36,85;R$ 36,85;R$ 22,85;R$ 22,85;R$ 22,85;R$ 22,85;R$ 20,64;R$ 19,53;;1;R$ 9,00
CAMISETA ALGODÃO PLUS SIZE;R$ 45,25;R$ 45,25;R$ 45,25;R$ 45,25;R$ 45,25;R$ 45,25;R$ 45,25;R$ 45,25;R$ 45,25;R$ 28,06;R$ 28,06;R$ 28,06;R$ 28,06;R$ 25,34;R$ 23,98;;2;R$ 4,50
CAMISETA ALGODÃO PIMA;R$ 99,00;R$ 99,00;R$ 99,00;R$ 99,00;R$ 99,00;R$ 99,00;R$ 99,00;R$ 99,00;R$ 99,00;R$ 61,38;R$ 61,38;R$ 61,38;R$ 61,38;R$ 55,44;R$ 52,47;;3;R$ 3,00
COM ELASTANO;R$ 41,14;R$ 41,14;R$ 41,14;R$ 41,14;R$ 41,14;R$ 41,14;R$ 41,14;R$ 41,14;R$ 41,14;R$ 25,51;R$ 25,51;R$ 25,51;R$ 25,51;R$ 23,04;R$ 21,80;;4;R$ 2,25
COM ELASTANO PLUS SIZE;R$ 49,23;R$ 49,23;R$ 49,23;R$ 49,23;R$ 49,23;R$ 49,23;R$ 49,23;R$ 49,23;R$ 49,23;R$ 30,52;R$ 30,52;R$ 30,52;R$ 30,52;R$ 27,57;R$ 26,09;;5;R$ 1,80
TECH TSHIRT MICRO MODAL;R$ 79,90;R$ 79,90;R$ 79,90;R$ 79,90;R$ 79,90;R$ 79,90;R$ 79,90;R$ 79,90;R$ 79,90;R$ 49,54;R$ 49,54;R$ 49,54;R$ 49,54;R$ 44,74;R$ 42,35;;ESTAMPA MÉDIA (27 LARGURA X 15 ALTURA);
STREET WEAR;R$ 38,50;R$ 38,50;R$ 38,50;R$ 38,50;R$ 38,50;R$ 38,50;R$ 38,50;R$ 38,50;R$ 38,50;R$ 23,87;R$ 23,87;R$ 23,87;R$ 23,87;R$ 21,56;R$ 20,41;;1;R$ 13,50
CAMISETA OVERSIZED MALHÃO;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 55,55;R$ 34,44;R$ 34,44;R$ 34,44;R$ 31,11;R$ 29,44;;2;R$ 6,75
